visit_id,visit_name,visit_lat,visit_lon,demand
0,Depot,45.7365049,4.8288759,0
1,V1,45.764676,4.872547,13
2,V2,45.754982,4.862633,11
3,V3,45.761727,4.884601,6
4,V4,45.755146,4.872899,17
5,V5,45.74038,4.898384,20
6,V6,45.759694,4.841811,23
7,V7,45.7502,4.841202,19
8,V8,45.741823,4.848269,24
9,V9,45.743791,4.884272,5
10,V10,45.729821,4.883026,5
11,V11,45.763349,4.868879,22
12,V12,45.742522,4.855564,23
13,V13,45.741995,4.831958,24
14,V14,45.76778,4.88973,15
15,V15,45.732569,4.841965,15
16,V16,45.744706,4.88409,12
17,V17,45.746358,4.901297,20
18,V18,45.769628,4.897401,5
19,V19,45.753797,4.828414,11
20,V20,45.742927,4.85578,15
21,V21,45.730383,4.828548,24
22,V22,45.766828,4.842263,6
23,V23,45.750155,4.833413,6
24,V24,45.750237,4.867424,22
25,V25,45.747659,4.863791,24
26,V26,45.75984,4.868231,20
27,V27,45.732734,4.876194,7
28,V28,45.739376,4.888293,10
29,V29,45.767868,4.828767,23
30,V30,45.751734,4.870803,16
31,V31,45.770059,4.866706,6
32,V32,45.765588,4.863639,16
33,V33,45.72763,4.838372,12
34,V34,45.740406,4.860129,7
35,V35,45.763013,4.870107,9
36,V36,45.749007,4.892885,18
37,V37,45.758595,4.856115,11
38,V38,45.74373,4.83436,5
39,V39,45.763839,4.90133,19
40,V40,45.743316,4.876641,14
41,V41,45.754362,4.853272,14
42,V42,45.761731,4.880287,17
43,V43,45.761187,4.831448,8
44,V44,45.742172,4.896209,21
45,V45,45.759356,4.87415,17
46,V46,45.75183,4.888393,22
47,V47,45.740786,4.870998,20
48,V48,45.735518,4.832952,17
49,V49,45.769957,4.861331,10
50,V50,45.749683,4.761237,9
51,V51,45.766111,4.900767,23
52,V52,45.762558,4.850893,16
53,V53,45.733961,4.850577,20
54,V54,45.758073,4.897638,11
55,V55,45.764157,4.883746,13
56,V56,45.732314,4.843443,19
57,V57,45.740883,4.846037,9
58,V58,45.736568,4.892416,18
59,V59,45.748467,4.863947,18
60,V60,45.729817,4.880195,18
61,V61,45.744515,4.898392,9
62,V62,45.74861,4.845277,7
63,V63,45.753129,4.863576,16
64,V64,45.770163,4.884212,10
65,V65,45.742344,4.868472,5
66,V66,45.727939,4.847202,21
67,V67,45.735586,4.833419,17
68,V68,45.743889,4.899193,9
69,V69,45.758869,4.882455,15
70,V70,45.747014,4.832069,8
71,V71,45.759674,4.857673,12
72,V72,45.749954,4.889595,6
73,V73,45.750315,4.875437,21
74,V74,45.754737,4.827712,10
75,V75,45.752381,4.835577,19
76,V76,45.739653,4.852269,7
77,V77,45.755116,4.87017,24
78,V78,45.768528,4.832675,19
79,V79,45.752437,4.83304,24
80,V80,45.765073,4.880736,20
81,V81,45.749841,4.839734,20
82,V82,45.770313,4.899374,14
83,V83,45.739837,4.845872,13
84,V84,45.735388,4.887862,18
85,V85,45.770338,4.89709,23
86,V86,45.755587,4.898977,18
87,V87,45.770362,4.856157,22
88,V88,45.75888,4.848309,8
89,V89,45.768225,4.852089,24
90,V90,45.749006,4.899486,5
91,V91,45.729161,4.894016,6
92,V92,45.751563,4.882807,5
93,V93,45.769891,4.88874,13
94,V94,45.762107,4.845419,21
95,V95,45.762993,4.859914,6
96,V96,45.755451,4.883185,9
97,V97,45.769961,4.860614,15
98,V98,45.761994,4.902104,13
99,V99,45.745427,4.866688,18
100,V100,45.761346,4.842865,21
