visit_id,visit_name,visit_lat,visit_lon,demand
0,Dépôt,45.75985,4.893707,0
1,V1,45.728003,4.87379,24
2,V2,45.747008,4.881427,23
3,V3,45.73324,4.873628,14
4,V4,45.748671,4.896613,8
5,V5,45.764335,4.883338,10
6,V6,45.76258,4.88371,14
7,V7,45.769297,4.849968,22
8,V8,45.729253,4.878808,6
9,V9,45.744132,4.866293,20
10,V10,45.759969,4.869648,19
11,V11,45.74574,4.855144,5
12,V12,45.755959,4.834118,7
13,V13,45.732016,4.901126,23
14,V14,45.736729,4.857034,14
15,V15,45.741998,4.877368,13
16,V16,45.729883,4.878401,15
17,V17,45.732735,4.875763,14
18,V18,45.750958,4.875936,10
19,V19,45.745007,4.876491,23
20,V20,45.734017,4.881355,12
21,V21,45.765903,4.836466,23
22,V22,45.755574,4.848345,23
23,V23,45.727081,4.887479,18
24,V24,45.750604,4.872803,21
25,V25,45.743292,4.841087,12
26,V26,45.767742,4.831066,7
27,V27,45.765537,4.889259,10
28,V28,45.769757,4.898115,20
29,V29,45.746803,4.830859,13
30,V30,45.748326,4.863432,13
31,V31,45.763048,4.891871,12
32,V32,45.733723,4.856738,8
33,V33,45.728391,4.866675,20
34,V34,45.736076,4.891161,6
35,V35,45.730823,4.873147,15
36,V36,45.741558,4.857889,22
37,V37,45.737616,4.827647,9
38,V38,45.727321,4.842485,21
39,V39,45.760342,4.837405,15
40,V40,45.7374107,4.8381698,11
